Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
23/10/1957,1957,October,Unprovoked,SOLOMON ISLANDS,Honiara,Honiara,Unknown,,,F,28,FATAL,Fatal,Afternoon,Unknown
01/02/1957,1957,February,Unprovoked,USA,Florida,Florida Keys,Diving,No,No,M,Unknown,Minor injuries,No Fatal,Unknown,Mako Shark
05/01/1957,1957,January,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Umgeni River Mouth,Wading,,No,M,12,FATAL,Fatal,Unknown,Unknown
01/05/1955,1955,May,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Lou Island, south of Manus Island",Spearfishing,No,No,M,Unknown,"Right forearm severely lacerated, left arm & hand lacerated",No Fatal,Midday.,Unknown
02/10/1954,1954,October,Unknown,JAPAN,Nagasaki Prefecture,Oomura Bay,Unknown,,,M,13,Body found in gut of 2000-lb white shark,Unknown,Unknown,Unknown
28/07/1954,1954,July,Unprovoked,SINGAPORE,Unknown,Singapore Harbor,Diving,No,No,M,28,"FATAL, abdomen, buttock, right thigh & hands bitten",Fatal,Unknown,Unknown
03/07/1954,1954,July,Unprovoked,BERMUDA,South Shore,Elbow Beach,Swimming,Yes,No,M,22,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",No Fatal,Unknown,"2.4 M [8'] Shark, Possibly A Dusky Shark"
01/01/1954,1954,January,Unprovoked,IRAN,Karun River,"Hesamabad area of Shushtar, 420 km from the sea",Unknown,,,M,Unknown,FATAL,Fatal,Unknown,Bull Shark
22/10/1951,1951,October,Unprovoked,AUSTRALIA,Queensland,"Ocean baths, Kissing Point Beach",Swimming,Yes,No,M,42,"FATAL, leg severed, shark dragged him through hole in protective net",Fatal,Evening,Unknown
03/09/1951,1951,September,Unprovoked,ITALY,Salerno Province,Salerno,Fishing,,,M,Unknown,3 fingers severed when he used his hand as bait,No Fatal,Night,Unknown
01/08/1950,1950,August,Unprovoked,SAUDI ARABIA,Eastern Cape Province,East of the Ras Tanura-Jubail area,Diving,No,No,M,Unknown,Tissue stripped knee to foot,No Fatal,Morning,Unknown
24/05/1950,1950,May,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Port Edward,Wading,,No,M,27,Left foot bitten,No Fatal,Morning,Unknown
11/02/1950,1950,February,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,"South Beach, Durban",Surfing,Yes,Yes,M,14,"FATAL, body not recovered",Fatal,Afternoon,White Shark
12/01/1950,1950,January,Unprovoked,AUSTRALIA,Victoria,South Werribee Beach,Swimming,Yes,No,M,Unknown,3 lacerations to heel,No Fatal,Unknown,Unknown
01/01/1950,1950,January,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,,No,M,Unknown,Arm bitten,No Fatal,Unknown,Unknown
17/08/1949,1949,August,Unknown,ITALY,Tuscany,Elba Island,Swimming,Yes,No,M,17,No injury,Unknown,Unknown,2 M Shark
01/01/1949,1949,January,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Kulengei, southeast of Kalili, Kavieng",Unknown,,,M,Unknown,"Leg bitten, surgically amputated",No Fatal,Unknown,Unknown
01/11/1947,1947,November,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Unknown,,,M,78,FATAL,Fatal,Unknown,Unknown
12/03/1947,1947,March,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,"Country Club Beach, Durban",Wading,,No,M,18,"Hip abraded, right calf severely lacerated",No Fatal,Afternoon,Unknown
24/12/1946,1946,December,Unknown,AUSTRALIA,Queensland,"Auckland Creek, Gladstone",Watercraft,,,Unknown,Unknown,Shark jumped into cockpit,No Fatal,Unknown,7' Shark
26/10/1946,1946,October,Unprovoked,MARSHALL ISLANDS,Kwajalein,,Fishing,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
01/01/1946,1946,January,Unprovoked,PERSIAN GULF,Head Of The Gulf,,Bitten after dhow shipwrecked,,,F,Unknown,"Abdomen bitten, but she survived. Most of the 40 others that survived the wreck, were taken by sharks",No Fatal,Unknown,Unknown
18/02/1944,1944,February,Unprovoked,INDIA,Unknown,"Triplicane Beach, Chennai",Bathing,Yes,No,M,12,FATAL,Fatal,Unknown,Unknown
01/01/1942,1942,January,Sea Disaster,SOUTHWEST PACIFIC OCEAN,Unknown,,Ditched plane in the sea & were adrift on a rubber life raft.,,,M,Unknown,"No injury to occupants, They fought off sharks & killed one with an automatic. Rescued 34 days later",No Fatal,Unknown,"Said To Be “Leopard Sharks”, More Probably Tiger Sharks"
14/07/1939,1939,July,Provoked,USA,Texas,"West Bay, 19 miles from Galveston",Seine netting,,,M,Unknown,Leg bitten by snared shark PROVOKED INCIDENT,No Fatal,Morning,18' Shark
13/11/1937,1937,November,Sea Disaster,USA,North & South Carolina,Off Cape Hatteraa,"Tzenny chandris, a greek freighter laden with scrap iron, foundered in heavy weather",,,M,Unknown,FATAL,Fatal,Unknown,Unknown
23/12/1935,1935,December,Provoked,AUSTRALIA,Victoria,150 yards from the pier at Lorne,Cruising,,,Unknown,Unknown,"Harpooned shark stove in bow (20 x 10 hole), boat sank PROVOKED INCIDENT",No Fatal,Unknown,4.3 M [14'] Shark
02/03/1935,1935,March,Unprovoked,AUSTRALIA,New South Wales,North Narrabeen Beach,Wading,,No,M,22,"FATAL, thigh bitten",Fatal,Afternoon,White Shark
11/12/1932,1932,December,Unprovoked,AUSTRALIA,Northern Territory,Arnhem Land,Unknown,,,M,Unknown,Leg bitten,No Fatal,Unknown,Unknown
26/09/1932,1932,September,Unprovoked,FIJI,Viti Levu Island,Navua,Catching a turtle,,,M,Unknown,Left arm severely bitten,No Fatal,Unknown,Unknown
27/09/1931,1931,September,Unprovoked,JAMAICA,Kingston Parish,"East Beach, Kingston",Diving,No,No,M,12,FATAL,Fatal,Morning,Unknown
16/03/1931,1931,March,Unknown,TURKEY,Unknown,"Bakurköy, Istanbul",Watercraft,,,Unknown,Unknown,"No injury to occupants, shark crushed boat",No Fatal,Unknown,Unknown
23/06/1929,1929,June,Provoked,USA,Florida,"Fort Pierce, St Lucie County",Fishing,,,M,Unknown,Leg bitten by hooked shark PROVOKED INCIDENT,No Fatal,Unknown,9-Foot Shark
01/09/1928,1928,September,Unprovoked,USA,Texas,Corpus Christi,Fishing,,,M,Unknown,Knee bitten,No Fatal,Unknown,Unknown
20/04/1927,1927,April,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,No,No,M,Unknown,Extensive injuries to left leg,No Fatal,Unknown,Unknown
01/01/1926,1926,January,Unprovoked,MONACO,Bay Of Monaco,,Unknown,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
20/04/1924,1924,April,Unknown,AUSTRALIA,Western Australia,Fremantle,Swimming,Yes,No,M,Unknown,Abrasions,Unknown,Unknown,Unknown
08/02/1924,1924,February,Unknown,AUSTRALIA,Queensland,Currumbin,Bathing,Yes,No,M,Unknown,Probable drowning & scavenging,Unknown,Afternoon,Unknown
25/01/1924,1924,January,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"St. George’s Strand, Port Elizabeth",Swimming,Yes,No,M,Unknown,Foot lacerated,No Fatal,Afternoon,Unknown
01/01/1923,1923,January,Unknown,USA,New Jersey,"Sea Bright, Monmouth County",Watercraft,,,M,Unknown,No injury to occupant Shark struck boat,No Fatal,Unknown,Unknown
01/01/1923,1922,January,Provoked,USA,New Jersey,Ocean City (offshore),Fishing,,,M,Unknown,Shark's tail broke his leg. PROVOKED INCIDENT,No Fatal,Unknown,Unknown
29/10/1922,1922,October,Unknown,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,,,M,Unknown,"FATAL, but shark involvement prior to death unconfirmed",Unknown,Unknown,Unknown
15/01/1922,1922,January,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Swimming,Yes,No,M,54,FATAL,Fatal,Afternoon,Unknown
24/01/1920,1920,January,Unprovoked,AUSTRALIA,Torres Strait,,Diving,No,No,M,Unknown,Lacerations to foot,No Fatal,Unknown,Unknown
24/01/1920,1920,January,Unprovoked,AUSTRALIA,Torres Strait,Arlington Reef,Diving,No,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
09/09/1917,1917,September,Provoked,USA,Hawaii,"Nanakuli, Oah’u",Stuffing a shark into an automobile,,,M,Unknown,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,No Fatal,Unknown,12' Shark
12/07/1916,1916,July,Unprovoked,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",Swimming,Yes,No,M,24,"FATAL, thigh bitten",Fatal,Unknown,3 M [10'] Shark
30/06/1916,1916,June,Unprovoked,USA,New Jersey,"Atlantic City, Atlantic County",Swimming,Yes,No,M,11,Heel bitten,No Fatal,Unknown,Unknown
23/06/1916,1916,June,Provoked,USA,Florida,,Unknown,,,M,26,Leg bitten by shark hooked shark PROVOKED INCIDENT,No Fatal,Unknown,Unknown
05/09/1914,1914,September,Unprovoked,USA,Louisiana,Lake Pontchartrain,Swimming,Yes,No,M,17,FATAL,Fatal,Unknown,Unknown
15/12/1909,1909,December,Unprovoked,AUSTRALIA,New South Wales,20 miles off Sydney,Fall into the water,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
18/06/1909,1909,June,Sea Disaster,AUSTRALIA,Queensland,"Middleton Reef, 300 nm from Brisbane",Body boarding,Yes,Yes,M,Unknown,"FATAL, only his legs, still in sea-boots, were recovered",Fatal,Unknown,Unknown
21/12/1907,1907,December,Unprovoked,AUSTRALIA,New South Wales,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",Bathing,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Bull Shark
29/07/1905,1905,July,Unprovoked,USA,North & South Carolina,"Davis Shore, east of Beaufor, Carteret Countyt",Wading,,No,M,16,Body not recovered FATAL,Fatal,Afternoon,Unknown
21/06/1903,1903,June,Unprovoked,AUSTRALIA,New South Wales,Georges River,Swimming,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
10/01/1903,1903,January,Unprovoked,CRETE,Unknown,,Diving,No,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
10/11/1902,1902,November,Unprovoked,AUSTRALIA,New South Wales,"Middle Harbour, Sydney",Swimming,Yes,No,M,17,FATAL,Fatal,Afternoon,Unknown
18/12/1899,1899,December,Unprovoked,AUSTRALIA,Queensland,Tingalpa Creek,Fall into the water,Yes,No,M,Unknown,bite to lower leg,No Fatal,Afternoon,Unknown
15/08/1899,1899,August,Unprovoked,USA,Florida,"Trout River, Panama Park",Swimming,Yes,No,M,15,FATAL,Fatal,Unknown,3 M [10'] Shark
08/08/1899,1899,August,Unprovoked,EGYPT,Mediterranean Sea,Port Said,Bathing,Yes,No,M,13,Left leg bitten,No Fatal,Morning,Unknown
07/09/1898,1898,September,Unprovoked,WEST INDIES,Unknown,,Fall into the water,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
01/01/1898,1898,January,Unknown,CRETE,Unknown,,Sponge divers,,,M,Unknown,Unknown,Unknown,Unknown,Unknown
15/10/1897,1897,October,Unknown,MEXICO,Vera Cruz,Vera Cruz Harbor,Diving,No,No,M,Unknown,Minor injuries,Unknown,Unknown,Unknown
16/10/1893,1893,October,Unknown,CROATIA,Primorje-Gorski Kotar County,"Off Volusca, Opatija",Small boat,,,Unknown,Unknown,No injury; no attack,Unknown,Unknown,Unknown
01/01/1890,1890,January,Unprovoked,INDIA,Tamil Nadu,Tuticorin,Diving,No,No,M,Unknown,No details,Unknown,Unknown,Unknown
21/07/1889,1889,July,Unprovoked,USA,Florida,"Fernandina, Nassau County",Swimming,Yes,No,M,Unknown,"FATAL, calf bitten",Fatal,Unknown,Unknown
08/07/1889,1889,July,Unprovoked,AUSTRALIA,Victoria,Port Phillip,Fall into the water,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
18/08/1884,1884,August,Unknown,USA,New York,Jamaica Bay,Clamming,,,M,Unknown,Unclear if he sustained any injury from the 7' shark,Unknown,Unknown,Unknown
05/09/1881,1881,September,Unprovoked,USA,North & South Carolina,"Elizabeth City, Pasquotank County",Bathing,Yes,No,M,Unknown,"FATAL, possible post-mortem bites",Fatal,A.M.,Unknown
13/06/1881,1881,June,Unprovoked,USA,Alabama,Mobile Bay,Fall into the water,Yes,No,M,23,FATAL,Fatal,Unknown,Unknown
07/04/1877,1877,April,Provoked,AUSTRALIA,Tasmania,Smelting Works Bay near Hobart,Unknown,,,M,Unknown,Fingers injured by landed shark PROVOKED INCIDENT,No Fatal,Unknown,7-Gill Shark
06/02/1876,1876,February,Unprovoked,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,Bathing,Yes,No,M,Unknown,"FATAL, rescued by man on horseback, but died on the beach",Fatal,Unknown,Unknown
13/05/1871,1871,May,Unknown,GUYANA,Unknown,Demerara,Suicide,,,M,Unknown,FATAL,Unknown,Unknown,Unknown
12/08/1864,1864,August,Unprovoked,USA,New York,Mahattan,Swimming,Yes,No,M,13,Left thigh severely bitten,No Fatal,Unknown,Unknown
01/08/1864,1864,August,Unprovoked,MADAGASCAR,Unknown,,Fall into the water,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
01/04/1860,1860,April,Unprovoked,NEW ZEALAND,North Island,"St. George's Bay, Auckland Harbor",Bathing,Yes,No,M,Unknown,FATAL Foot & leg bitten,Fatal,Unknown,4' Ground Shark
17/08/1858,1858,August,Unknown,USA,New York,"Staten Island, Richmond County",Swimming,Yes,No,M,Unknown,Thought to have been taken by a shark/s. Body not  recovered,Unknown,Unknown,Unknown
30/09/1855,1855,September,Sea Disaster,USA,North & South Carolina,Cape Hatteras,Ship william penn grounded & broke apart,,,M,Unknown,Foot bitten,No Fatal,Unknown,Unknown
20/05/1826,1826,May,Unprovoked,JAMAICA,Unknown,,Body boarding,Yes,Yes,M,Unknown,FATAL,Fatal,Evening,Unknown
01/01/1776,1776,January,Unprovoked,GUINEA,Unknown,,Murder,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
Unknown,Unknown,Unknown,Unprovoked,FRENCH POLYNESIA,Tuamotus,Rangiroa,Fishing,,,M,Unknown,"Speared a shark, fell overboard and another shark severed his arm",No Fatal,Unknown,Unknown
Unknown,Unknown,Unknown,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Swimming,Yes,No,M,6,Arm severed,No Fatal,Afternoon,Bull Shark
Unknown,Unknown,Unknown,Unprovoked,MADAGASCAR,Toamasina Province,Tamatave,Bathing,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
Unknown,Unknown,Unknown,Unprovoked,AUSTRALIA,New South Wales,,Swimming,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Nurse Shark
18/02/2023,2023,February,Unknown,ARGENTINA,Patagonia,Chubut Province,Disappeared while driving an atw vehicle,,,M,32,Death by misadventure. Some of the remains were later scavenged by a small shark,Unknown,Unknown,Unknown
25/09/2022,2022,September,Unprovoked,SOUTH AFRICA,Western Cape Province,"Central Beach, Plettenberg Bay",Swimming,Yes,No,F,39,FATAL,Fatal,Morning,White Shark
17/08/2022,2022,August,Unprovoked,AUSTRALIA,New South Wales,Coffs Harbour,Kayaking,,,M,Unknown,"No injury, kayak bitten in half",No Fatal,Unknown,White Shark
22/06/2022,2022,June,Unprovoked,USA,California,"Pacific Grove, Monterey County",Swimming,Yes,No,M,62,Stomach and leg injuries including a broken femur,No Fatal,Morning,White Shark
05/02/2022,2022,February,Unprovoked,AUSTRALIA,Western Australia,"Beds, Wylie Bay, Esperance",Floating,Yes,,F,20,Torso bitten,No Fatal,Morning,White Shark
15/10/2021,2021,October,Unprovoked,AUSTRALIA,Queensland,"Hook Island, Whitsundays",Swimming,Yes,No,M,34,Lacerations and puncture to left leg,No Fatal,Dusk,Unknown
02/08/2021,2021,August,Unprovoked,USA,Maryland,"Ocean City, Worcester County",Swimming,Yes,No,F,12,Lacerations and puncture wounds to lower left leg,No Fatal,Afternoon,Blacktip Shark
30/07/2021,2021,July,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Fishing,,,M,47,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,No Fatal,Morning,Unknown
29/07/2020,2020,July,Unprovoked,USA,Florida,Florida Keys,Diving,No,No,M,38,Lower leg bitten,No Fatal,Unknown,Lemon Shark
17/05/2020,2020,May,Unprovoked,FRENCH POLYNESIA,Tahiti,Vallée Blanche,Snorkeling,Yes,No,Unknown,Unknown,Leg bitten,No Fatal,Unknown,Blacktip Shark
09/05/2020,2020,May,Unprovoked,USA,California,"Sand Dollar Beach, Santa Cruz County",Surfing,Yes,Yes,M,26,FATAL,Fatal,Afternoon,White Shark
24/12/2019,2019,December,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Body boarding,Yes,Yes,F,17,Laceration to thigh,No Fatal,Evening,Unknown
09/11/2019,2019,November,Unknown,SOUTH AFRICA,Eastern Cape Province,East London,Watercraft,,,M,Unknown,"No injury, kayak damaged",No Fatal,Morning,White Shark
17/10/2019,2019,October,Unprovoked,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island,",Surfing,Yes,Yes,M,17,"No injury, surfboard bitten",No Fatal,Afternoon,7' Shark
27/07/2019,2019,July,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,Yes,Yes,M,23,Puncture wounds around left elbow,No Fatal,Unknown,Blacktip Shark
13/07/2018,2018,July,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,,No,M,17,Foot bitten,No Fatal,Afternoon,Unknown
24/05/2018,2018,May,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding,,,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,No Fatal,Morning,Reef Shark
28/04/2018,2018,April,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,Yes,Yes,M,Unknown,"No injury, knocked off board by shark",No Fatal,Afternoon,Unknown
28/01/2018,2018,January,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,Unknown,,,M,18,Injuries to right leg,No Fatal,Morning,Bull Shark
15/09/2017,2017,September,,SAMOA,Upolu Island,Nofoali’i,Fishing,,,M,Unknown,Injuries to hands and legs,No Fatal,Night,Unknown
10/09/2017,2017,September,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,Yes,Yes,M,35,Minor lacerations to right hip,No Fatal,Morning,White Shark
27/04/2017,2017,April,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,Yes,Yes,F,23,Puncture wounds & laceration above knee,No Fatal,Afternoon,Unknown
18/03/2017,2017,March,Unknown,USA,California,Monterey Bay,Watercraft,,,M,Unknown,"No injury, kayak bitten",No Fatal,Afternoon,White Shark
27/06/2016,2016,June,Unprovoked,USA,North & South Carolina,Sullivan's Island,Unknown,,,M,35,Minor injury,No Fatal,Afternoon,3' To 4' Shark
23/01/2016,2016,January,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Body boarding,Yes,Yes,M,48,No injury,No Fatal,Morning,"Tiger Shark, 14'"
08/12/2015,2015,December,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming,Yes,No,F,22,Lacerations to both hands and forearms,No Fatal,Morning,Unknown
29/08/2015,2015,August,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,Yes,Yes,M,21,"No injury, shark struk sufer's leg and his board",No Fatal,Morning,White Shark
03/04/2015,2015,April,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,No,No,M,70,Injuries to head & torso,No Fatal,Afternoon,Bull Shark
22/10/2014,2014,October,Unprovoked,USA,Hawaii,"Kihei, Maui",Body boarding,Yes,Yes,F,Unknown,"No injury, paddleboard bitten",No Fatal,Morning,Tiger Shark
18/10/2014,2014,October,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,Yes,Yes,M,Unknown,"No injury, surfboard bitten",No Fatal,Morning,12' To 14' Shark
02/10/2014,2014,October,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,Yes,Yes,M,28,Lacerations to knee,No Fatal,Afternoon,8' To 10' Shark
12/09/2014,2014,September,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding,,,F,36,Thumb & finger nipped,No Fatal,Unknown,Blacktip Shark
06/09/2014,2014,September,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing,,,M,43,Leg bitten,No Fatal,Afternoon,Bull Shark
16/08/2014,2014,August,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,No,No,M,31,Lacerations to face and neck,No Fatal,Unknown,Reef Shark
20/07/2014,2014,July,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,,No,Unknown,Unknown,Minor injury,No Fatal,Unknown,Angel Shark
27/06/2014,2014,June,Unknown,ST. MARTIN,Unknown,20 miles from shore,Watercraft,,,M,48,His boat was holed by a shark,No Fatal,Unknown,White Shark
18/06/2014,2014,June,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,Yes,Yes,M,Unknown,"No injury, surfboard 'attacked'",No Fatal,Afternoon,Unknown
08/06/2014,2014,June,Unprovoked,JAPAN,Atsumi Peninsula,Aichi,Surfing,Yes,Yes,M,43,Left arm bitten,No Fatal,Afternoon,Unknown
26/10/2013,2013,October,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving,No,No,M,Unknown,"No injury, swim fin shredded",No Fatal,Morning,White Shark
25/09/2013,2013,September,Unprovoked,USA,Florida,"Panama City, Bay County",Wading,,No,M,7,Laceration and puncture wounds to ankle,No Fatal,Morning,Unknown
26/08/2013,2013,August,Provoked,FRANCE,Bay Of Biscay,,Fishing,,,M,50,Laceration to right arm from hooked shark  PROVOKED INCIDENT,No Fatal,Evening,Mako Shark
29/07/2013,2013,July,Unprovoked,MEXICO,Quintana Roo,,Wading,,No,F,Unknown,Hip bitten,No Fatal,Morning,Unknown
15/07/2013,2013,July,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,Swimming,Yes,No,F,15,FATAL,Fatal,Afternoon,Unknown
27/02/2013,2013,February,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,Yes,No,M,46,FATAL,Fatal,Afternoon,White Shark
31/12/2012,2012,December,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,Yes,No,M,Unknown,Lower leg or ankle bitten,No Fatal,Afternoon,Unknown
19/07/2012,2012,July,Unknown,CANADA,British Colombia,"Tofino, Vancouver",Surfing,Yes,Yes,F,23,"Lacerations to 2 fingers, but shark involvement unconfirmed",Unknown,Unknown,"Salmon Shark Suspected, But Unlikely"
22/06/2012,2012,June,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,Yes,No,M,12,Minor injury,No Fatal,Afternoon,Unknown
18/01/2012,2012,January,Unprovoked,AUSTRALIA,New South Wales,Redhead Beach,Surfing,Yes,Yes,M,44,Lacerations to thigh,No Fatal,Afternoon,White Shark
28/09/2011,2011,September,Provoked,DOMINICAN REPUBLIC,Samaná Province,Playa Jackson,Fishing,,,M,48,Severe injuries to left arm PROVOKED INCIDENT,No Fatal,Unknown,Unknown
24/09/2011,2011,September,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",Spearfishing,No,No,M,21,Laceration to left thigh,No Fatal,Afternoon,Bull Shark
20/09/2011,2011,September,Unknown,USA,Hawaii,Kauai,Watercraft,,,M,Unknown,"No injury, canoe bitten by shark",No Fatal,Afternoon,Unknown
31/08/2011,2011,August,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Surfing,Yes,Yes,M,19,Lacerations to lower leg,No Fatal,Morning,6' Shark
06/07/2011,2011,July,Unprovoked,REUNION,Saint-Gilles,Roches Noires,Surfing,Yes,Yes,M,16,Minor injuries: scratches on nose & ankle. Board broken in two,No Fatal,Afternoon,Unknown
05/07/2011,2011,July,Unprovoked,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,,,M,17,"Right arm bitten, defense wounds to left hand",No Fatal,Morning,Unknown
14/11/2010,2010,November,Unprovoked,INDONESIA,Bali,Balian,Surfing,Yes,Yes,M,Unknown,Hand bitten,No Fatal,Unknown,Unknown
06/09/2010,2010,September,Unprovoked,TONGA,Ha'Api,,Swimming,Yes,No,M,24,Puncture wounds to right foot,No Fatal,Morning,Unknown
03/09/2010,2010,September,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,24,Lacerations to right  hand,No Fatal,Morning,Unknown
10/06/2010,2010,June,Unprovoked,USA,Florida,Jacksonville,Body boarding,Yes,Yes,F,18,Lacerations to left calf and foot,No Fatal,Morning,4' Shark
27/03/2010,2010,March,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,Yes,Yes,M,34,"No injury, board bitten",No Fatal,Morning,1.5 M Shark
22/01/2010,2010,January,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,Yes,Yes,M,Unknown,Lacerations to right hand,No Fatal,Morning,Unknown
12/01/2010,2010,January,Unprovoked,SOUTH AFRICA,Western Cape Province,Fish Hoek,Wading,,No,M,37,FATAL,Fatal,Afternoon,White Shark
18/12/2009,2009,December,Unknown,SOUTH AFRICA,Kwazulu-Natal,"North Beach, Durban",Surfing,Yes,Yes,M,Unknown,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",Unknown,Unknown,Unknown
24/11/2009,2009,November,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,,No,M,10,Left foot bitten,No Fatal,Morning,6' Shark
24/07/2009,2009,July,Unprovoked,USA,Texas,South Padre Island,Wading,,No,F,14,Lacerations to anterior left lower leg,No Fatal,Afternoon,Unknown
11/04/2009,2009,April,Unknown,USA,Hawaii,Kona,Spearfishing,No,No,M,49,Missing,Unknown,Unknown,Unknown
10/01/2009,2009,January,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,Yes,Yes,M,22,Right lower leg bitten & defense wounds to hand,No Fatal,Unknown,Unknown
21/10/2008,2008,October,Unprovoked,NEW CALEDONIA,Unknown,,Spearfishing,No,No,M,24,Legs bitten,No Fatal,Morning,Lemon Shark
24/08/2008,2008,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,Yes,No,M,20,Minor injury to left foot,No Fatal,Afternoon,Unknown
23/05/2008,2008,May,Unprovoked,MEXICO,Guerro,Pantla Beach,Surfing,Yes,Yes,M,21,FATAL,Fatal,Unknown,2 M Shark
28/04/2008,2008,April,Unprovoked,MEXICO,Guerro,Troncones Beach,Surfing,Yes,Yes,M,24,FATAL    Severe bite to right thigh,Fatal,Afternoon,Tiger Shark
26/04/2008,2008,April,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,21,Puncture wounds to right foot                  PROVOKED INCIDENT,No Fatal,Morning,Unknown
08/04/2008,2008,April,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,Yes,Yes,M,16,FATAL,Fatal,Morning,Bull Shark
18/11/2007,2007,November,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,,,M,32,Minor injury to finger by netted shark PROVOKED INCIDENT,No Fatal,Unknown,Reef Shark
09/08/2007,2007,August,Unprovoked,USA,North & South Carolina,"Isle of Palms, Charleston County",Body boarding,Yes,Yes,M,9,Lacerations to lower leg & ankle,No Fatal,Afternoon,Unknown
