Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
20/03/1966,1966,March,Provoked,AUSTRALIA,New South Wales,Maroubra,Fishing,,,Unknown,Unknown,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",No Fatal,Unknown,White Shark
27/09/1964,1964,September,Unknown,UNKNOWN,Unknown,,Spearfishing,No,No,M,24,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",Unknown,Morning,Unknown
06/01/1964,1964,January,Unprovoked,PAPUA NEW GUINEA,New Britain,,Fishing,,,M,Unknown,FATAL,Fatal,Unknown,Tiger Shark
26/12/1963,1963,December,Unprovoked,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,,,M,Unknown,"No injury, shark's tail struck his armpit",No Fatal,Dawn,"4.3 M [14'], 1000-Lb Shark"
11/07/1963,1963,July,Provoked,USA,Mississippi,Horn Island,Fishing,,,M,24,"Cuts on right hand, PROVOKED INCIDENT",No Fatal,Unknown,1.2 M [4'] Shark
25/10/1962,1962,October,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",Wading,,No,M,32,"FATAL, both legs bitten",Fatal,Morning,2.7 M [9'] Shark
12/08/1962,1962,August,Unprovoked,USA,New Jersey,"Manasquan, Ocean County",Wading,,No,M,24,Left thigh & hand bitten,No Fatal,Afternoon,1.8 M [6'] Shark
05/02/1962,1962,February,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Winkelspruit,Wading,,No,M,13,"FATAL, tissue removed from thigh, femoral artery severed",Fatal,Afternoon,White Shark
14/01/1962,1962,January,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,Yes,Yes,M,19,Dorsum of foot lacerated & toe severed,No Fatal,Afternoon,Whaler Shark
28/12/1961,1961,December,Unprovoked,AUSTRALIA,Queensland,"Lambert’s Beach, Mackay",Wading,,No,M,24,"Hand bitten, surgically amputated",No Fatal,Afternoon,3 M [10'] Shark
18/06/1961,1961,June,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Wading,,No,M,25,Lacerations to left leg,No Fatal,Afternoon,Unknown
17/05/1961,1961,May,Unprovoked,NEW BRITAIN,East New Britain Province,Kokopo,Fishing,,,M,Unknown,Thumb & 2 fingers severed,No Fatal,Unknown,Unknown
17/04/1961,1961,April,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth Oceanarium,Diving,No,No,M,Unknown,Shark bit swimfin after diver kicked shark PROVOKED INCIDENT,No Fatal,Unknown,2 M  Yellow Belly Captive Shark. Shark Destroyed By Aquarium Staff Next Day
08/04/1961,1961,April,Sea Disaster,PERSIAN GULF,United Arab Emirates,Dubai,Cargo ship dara sank after collision with another ship during a severe storm,,,Unknown,Unknown,Some of the survivors said to have been bitten by sharks,Fatal,Unknown,Unknown
04/08/1960,1960,August,Unprovoked,USA,Delaware,"Mispillion Light, Delaware Bay",Fishing,,,M,46,Hand lacerated,No Fatal,Unknown,2.4 M [8'] Shark
24/04/1960,1960,April,Unprovoked,USA,California,"Tomales Point, Marin County",Diving,No,No,M,48,Foot & swim fin bitten,No Fatal,Afternoon,White Shark
28/11/1959,1959,November,Unprovoked,AUSTRALIA,Queensland,"North Burleigh, near Brisbane",Wading,,No,M,17,Right foot lacerated,No Fatal,Morning,A Small Shark
14/08/1959,1959,August,Sea Disaster,PHILIPPINES,Queaon,Between Unisan & Angadanan Islands,Fishing,,,Unknown,Unknown,"10 of the 15 people perished, bodies of some who drowned  were scavenged by sharks",Fatal,Afternoon,Unknown
26/06/1958,1958,June,Provoked,USA,Florida,"Sanibel Island, Lee County",Wading,,No,M,59,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,No Fatal,Afternoon,Nurse Shark
02/09/1957,1957,September,Unprovoked,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,Unknown,,,M,Unknown,Survived,No Fatal,Unknown,Mako Shark
05/02/1957,1957,February,Unprovoked,USA,Florida,"South Beach, Fort Pierce, St Lucie County",Floating,Yes,,M,Unknown,Foot bitten,No Fatal,Afternoon,1.2 M  [4'] Shark
24/12/1956,1956,December,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,Spearfishing,No,No,M,16,"FATAL, left arm, shoulder & chest bitten",Fatal,Morning,Unknown
